exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,33.668116324093808716000000000000000000,13022991791.9804168671647940,927,True,https://www.binance.com/,1750493657064
mexc,MEXC,2,6.514285123110492911000000000000000000,2519757294.1785738788812050,648,True,https://curve.fi/,1750493662346
bybit,BYBIT,3,6.496053973396763509000000000000000000,2512705396.4485438486324570,273,True,https://curve.fi/,1750493651933
bitget,BITGET,4,5.974863797127854601000000000000000000,2311106491.3516898886168692,377,True,https://curve.fi/,1750493664812
okx,OKX,5,5.730356226386105991000000000000000000,2216529769.0843930448363408,544,True,https://curve.fi/,1750493657471
gate,Gate,6,4.654051449538543509000000000000000000,1800209825.9183303998893724,846,False,https://gate.io/,1750493669062
gdax,Coinbase Pro,7,4.057574484405957962000000000000000000,1569489623.2716464671586716,251,True,https://pro.coinbase.com/,1750493668138
lbank,LBank,8,3.917816003393688551000000000000000000,1515430360.3903446717319925,194,False,https://www.lbank.info,1750493612720
huobi,Huobi,9,3.915727793750921444000000000000000000,1514622630.7040173999965697,219,True,https://www.hbg.com/,1750493643034
digifinex,DigiFinex,10,3.594697111387068614000000000000000000,1390446395.2070986337660803,166,False,https://www.digifinex.com/,1750493664063
bitmax,AscendEX (Bitmax),11,2.567573848135874341000000000000000000,993150101.6481963481214500,177,False,https://www.bitmax.io/,1750493668293
kraken,Kraken,12,2.518876949589045054000000000000000000,974313903.5085212411127061,420,False,https://kraken.com,1750493665323
bitmart,BITMART,13,2.425970395472925545000000000000000000,938377194.7236119830761908,406,True,https://curve.fi/,1750493643982
crypto,Crypto.com Exchange,14,2.156341528372598133000000000000000000,834083432.3602062050975458,165,False,https://api.crypto.com/,1750493660288
whitebit,WhiteBIT,15,1.919616795157640199000000000000000000,742517149.6510375121809104,280,False,https://whitebit.com,1750493668195
kucoin,Kucoin,16,1.876937542786532669000000000000000000,726008606.4356560081120156,400,False,https://www.kucoin.io/,1750493659960
bigone,BigONE,17,1.035424809442741512000000000000000000,400507372.1613573589278950,80,False,https://big.one/,1750493657834
hyperliquid,HYPERLIQUID,18,0.840285178425089945000000000000000000,325026410.0377252846801657,21,True,https://curve.fi/,1750493649112
probit,ProBit,19,0.744289047360938925000000000000000000,287894637.8032427383804191,201,False,https://www.probit.com/en-us/,1750493668974
Uniswap V3,Uniswap V3,20,0.736439696116239271000000000000000000,284858470.4142480051282547,69,True,empty_uri,1750493477474
bitfinex,Bitfinex,21,0.541876311091611315000000000000000000,209600403.0544651843852688,135,True,https://bitfinex.com,1750493642998
bitstamp,Bitstamp,22,0.485250559458555626000000000000000000,187697285.8252937854598677,119,True,https://www.bitstamp.net/,1750493668729
hitbtc,HitBTC,23,0.465612286195442104000000000000000000,180101105.8355277715610000,214,True,https://hitbtc.com/,1750493639126
Aerodrome SlipStream,Aerodrome SlipStream,24,0.408785303278788504000000000000000000,158120151.3632698064267360,5,True,empty_uri,1750493582981
pionex,PIONEX,25,0.389132999054686775000000000000000000,150518544.1292818683222300,263,True,https://curve.fi/,1750493653647
Uniswap V3 (Arbitrum),Uniswap V3 (Arbitrum),26,0.342360376670616905000000000000000000,132426665.4053973611592001,23,True,empty_uri,1750493641347
dex-trade,Dex-Trade,27,0.329525074460803935000000000000000000,127461907.8372300416277124,85,False,https://dex-trade.com/,1750493667254
gemini,Gemini,28,0.233616884680549788000000000000000000,90364151.7207667153537209,54,True,https://gemini.com/,1750493667327
raydium-101,RAYDIUM (Solana),29,0.193771688085756493000000000000000000,74951835.1180556295778743,14,True,https://curve.fi/,1750493589721
btcturk,BTCTurk,30,0.172710318851568390000000000000000000,66805194.6578521299813347,143,False,https://www.btcturk.com/,1750493665682
Curve-1,CURVE (ethereum),31,0.145913293433604207000000000000000000,56439974.3791666687270591,43,True,https://curve.fi/,1750493577855
coincheck,coincheck,32,0.140269468878309506000000000000000000,54256915.4829853516471413,1,False,coincheck,1750493649759
bitkub,Bitkub,33,0.134842865656920830000000000000000000,52157878.8594274891716197,74,False,https://www.bitkub.com/,1750493664483
